,,,,,,,Length class (mb),,,,,Length class (kb),,,,,,
Animal ID,State,LGA,Cluster,No. ROH,Total length ROH (kb),Average length ROH (kb),0-0.2,0.2-0.4,0.4-0.8,0.8-1.6,>1.6,>100,>500,>1000,Froh,Froh for ROHs >100 kb,Froh for ROHs >500 kb,Froh for ROH > 1 Mb
Gympie_F_93694,QLD,Gympie,N_QLD,3348,913755,272.93,1754,980,496,112,6,913755.25,298815.50,54395.19,0.30,0.30,0.10,0.02
Gympie_M_87743,QLD,Gympie,N_QLD,1856,380915,205.23,1323,359,152,21,1,380915.13,78066.41,11540.55,0.12,0.12,0.03,0.00
Gympie_M_95464,QLD,Gympie,N_QLD,1600,302730,189.21,1196,301,89,14,0,302730.41,44797.42,4547.89,0.10,0.10,0.01,0.00
HVale-F-Claire,QLD,HiddenVale,N_QLD,1936,419811,216.84,1302,413,188,33,0,419810.77,97579.55,11505.45,0.14,0.14,0.03,0.00
HVale-F-Shamala,QLD,HiddenVale,N_QLD,1632,331373,203.05,1196,299,107,26,4,331372.55,69565.47,22558.39,0.11,0.11,0.02,0.01
LivSton-F-54945,QLD,LivingStone,N_QLD,2475,586659,237.03,1549,597,272,55,2,586658.85,159390.16,38412.02,0.19,0.19,0.05,0.01
M_Andrew_MBR,QLD,MoretonBay,N_QLD,1860,414156,222.66,1245,407,170,34,4,414155.85,102034.90,34980.44,0.13,0.13,0.03,0.01
M_Bobby_MBR,QLD,MoretonBay,N_QLD,2250,595241,264.55,1332,520,299,85,14,595240.51,215469.56,67422.26,0.19,0.19,0.07,0.02
M_Branson_MBR,QLD,MoretonBay,N_QLD,2388,697687,292.16,1311,561,384,120,12,697687.37,302767.04,91993.02,0.23,0.23,0.10,0.03
M_Dazza_MBR,QLD,MoretonBay,N_QLD,2176,521559,239.69,1343,530,248,52,3,521558.82,146379.99,29024.32,0.17,0.17,0.05,0.01
M_Doddy_MBR,QLD,MoretonBay,N_QLD,1914,420460,219.68,1281,410,184,38,1,420459.82,98718.10,27562.74,0.14,0.14,0.03,0.01
M50293_001,NSW,Inverell,N_QLD,2411,588020,243.89,1444,635,262,68,2,588019.83,158121.15,43893.87,0.19,0.19,0.05,0.01
Mackay-F-63479,QLD,Mackay,N_QLD,2453,583125,237.72,1511,622,253,62,5,583124.53,161388.00,33038.38,0.19,0.19,0.05,0.01
Noosa_F_65657,QLD,Noosa,N_QLD,2370,516637,217.99,1536,586,222,26,0,516637.50,102064.44,13759.58,0.17,0.17,0.03,0.00
Noosa_F_70593,QLD,Noosa,N_QLD,3215,821700,255.58,1744,956,439,73,3,821699.73,227537.38,38907.70,0.27,0.27,0.07,0.01
Noosa_F_74009,QLD,Noosa,N_QLD,2174,484722,222.96,1389,546,205,34,0,484722.02,111851.03,16698.88,0.16,0.16,0.04,0.01
Noosa_F_79303,QLD,Noosa,N_QLD,2667,680189,255.04,1510,731,351,72,3,680189.00,210092.98,41070.80,0.22,0.22,0.07,0.01
Noosa_M_49880,QLD,Noosa,N_QLD,1821,361509,198.52,1287,400,118,15,1,361509.28,54706.82,6563.21,0.12,0.12,0.02,0.00
Noosa_M_79211,QLD,Noosa,N_QLD,4412,1220000,275.98,2168,1433,680,126,5,1217617.17,374009.24,75252.51,0.40,0.40,0.12,0.02
Noosa_M_79763,QLD,Noosa,N_QLD,1824,387409,212.40,1279,354,160,31,0,387409.47,92949.26,20953.20,0.13,0.13,0.03,0.01
NthBurn-F-72194,QLD,NorthBurnett,N_QLD,2888,737587,255.40,1582,837,399,68,2,737586.81,211170.53,31857.05,0.24,0.24,0.07,0.01
NthBurn-F-87227,QLD,NorthBurnett,N_QLD,2005,455371,227.12,1322,439,194,47,3,455370.68,121545.31,29163.37,0.15,0.15,0.04,0.01
NthBurn-M-55989,QLD,NorthBurnett,N_QLD,2090,469360,224.57,1351,497,197,41,4,469359.98,108839.16,27182.77,0.15,0.15,0.04,0.01
NthBurn-M-73175,QLD,NorthBurnett,N_QLD,2854,736731,258.14,1649,748,355,95,7,736731.50,236401.92,68316.59,0.24,0.24,0.08,0.02
Pillig_M_M47976,NSW,Pilliga,N_QLD,2304,597827,259.47,1395,524,297,83,5,597827.30,203968.32,58855.16,0.19,0.19,0.07,0.02
Redland-F-94829,QLD,Redland,N_QLD,2330,591692,253.95,1394,582,264,84,6,591691.98,186778.60,61951.78,0.19,0.19,0.06,0.02
Redland-F-95776,QLD,Redland,N_QLD,2160,542259,251.05,1297,540,252,65,6,542258.51,165695.29,49335.33,0.18,0.18,0.05,0.02
SthBurn-F-85725,QLD,SouthBurnett,N_QLD,2565,669962,261.19,1462,644,376,80,3,669961.91,220782.24,48233.86,0.22,0.22,0.07,0.02
SthBurn-F-86009,QLD,SouthBurnett,N_QLD,1712,348459,203.54,1235,312,139,25,1,348458.76,75357.87,12932.41,0.11,0.11,0.02,0.00
SthBurn-F-86231,QLD,SouthBurnett,N_QLD,1607,303594,188.92,1204,286,100,17,0,303594.28,44350.09,6962.41,0.10,0.10,0.01,0.00
SthBurn-F-86628,QLD,SouthBurnett,N_QLD,1905,404708,212.45,1328,377,165,34,1,404707.67,91143.05,18828.90,0.13,0.13,0.03,0.01
SthBurn-F-86919,QLD,SouthBurnett,N_QLD,1772,372910,210.45,1228,375,142,26,1,372910.25,80872.09,17336.28,0.12,0.12,0.03,0.01
SthBurn-F-93286,QLD,SouthBurnett,N_QLD,1708,340300,199.24,1248,323,113,24,0,340299.75,59480.29,14296.46,0.11,0.11,0.02,0.00
SthBurn-F-95162,QLD,SouthBurnett,N_QLD,1660,318866,192.09,1207,338,101,14,0,318866.35,45601.07,6859.76,0.10,0.10,0.01,0.00
SthBurn-M-53159,QLD,SouthBurnett,N_QLD,1996,422459,211.65,1358,440,169,28,1,422459.31,80690.80,17022.54,0.14,0.14,0.03,0.01
SthBurn-M-65901,QLD,SouthBurnett,N_QLD,1860,391974,210.74,1270,413,153,23,1,391973.98,81871.06,16526.40,0.13,0.13,0.03,0.01
SthBurn-M-80665,QLD,SouthBurnett,N_QLD,1897,393652,207.51,1325,384,166,21,1,393652.24,78007.00,9796.07,0.13,0.13,0.03,0.00
Sunshine-Coast-M-76877,QLD,SunshineCoast,N_QLD,3558,1060000,298.98,1762,987,623,177,9,1063773.74,429511.44,111856.66,0.35,0.35,0.14,0.04
Sunshine-Coast-M-79598,QLD,SunshineCoast,N_QLD,1791,361642,201.92,1279,350,143,19,0,361641.52,66160.54,8285.16,0.12,0.12,0.02,0.00
Sunshine-Coast-M-79817,QLD,SunshineCoast,N_QLD,2204,552142,250.52,1344,518,274,60,8,552142.35,173634.86,45831.52,0.18,0.18,0.06,0.01
Sunshine-Coast-M-86054,QLD,SunshineCoast,N_QLD,1870,379036,202.69,1349,350,146,24,1,379036.20,75761.51,11439.95,0.12,0.12,0.02,0.00
